Area_Year,1_Live births,1_Live births,1_Live births,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,3_Number of full-time and part-time educators,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,6_Estimates of population,7_Dependency ratio,9_Postsecondary enrolments
Alberta_1991,"42,897","42,834",63,,,,,,,,,,,,,,,,,,"84,627","55,596","24,310","5,004","3,184","17,591","31,332","1,010","29,407","26,750","22,426","7,113","13,772","12,891","2,763","2,196",114,"4,264",657,649,318,425,"69,081","37,059","35,729","1,777","31,003","20,000","10,601","41,821","15,336","12,188","3,361","28,159","13,200","14,895",999,"150,229","112,838",,,
Alberta_1992,"42,125","42,080",45,,,,,,,,,,,,,,,,,,"85,453","56,153","24,378","4,946","3,257","17,637","31,868","1,076","29,590","26,318","22,104","8,238","13,053","10,742","3,181","1,944",134,"4,124","-1,343","-1,316",-779,-614,"74,451","43,449","41,752","2,172","30,474","19,758","10,347","42,262","15,694","12,522","3,376","28,211","12,731","15,420",-156,"151,229","113,262",,,
Alberta_1993,"40,368","40,329",39,,,,,,,,,,,,,,,,,,"86,694","57,798","25,045","5,157","3,355","17,976","32,860","1,044","29,024","29,127","25,081","8,364","14,915","13,372","3,223","2,765",149,"3,921",759,743,-142,"1,288","80,334","46,339","44,713","2,197","33,344","22,091","10,962","43,932","17,074","13,661","3,624","28,340","12,652","15,635",-53,"162,978","117,252",,,"114,048"
Alberta_1994,"39,941","39,902",39,,,,,,,,,,,,,,,,,,"87,650","60,049","25,832","5,399","3,446","18,434","34,368","1,007","27,369","33,530","29,844","8,291","18,306","18,015","3,366","3,805",135,"3,533",-244,-240,-277,108,"85,934","50,808","49,005","2,422","34,584","23,494","10,915","46,050","17,329","13,607","4,013","30,471","14,711","15,624","1,540","172,000","122,500",,,"112,911"
Alberta_1995,"38,968","38,935",33,,,,,,,,,,,,,,,,,,"88,733","61,384","26,184","5,441","3,611","18,518","35,398","1,087","26,850","33,405","29,994","7,308","18,690","17,980","3,588","4,203",173,"3,195","1,393","1,364",753,701,"90,716","56,012","54,034","2,664","34,423","23,317","10,919","47,988","18,376","14,556","4,090","31,319","15,219","15,950","1,116","177,278","123,489",,,"111,546"
Alberta_1996,"37,913","37,894",19,,,,,,,,,,,,,,,,,,"90,569","63,141","27,000","5,803","3,727","18,756","36,331","1,274","26,553","35,273","31,754","8,387","19,603","17,436","4,291","4,206",165,"3,309",-106,-102,-20,-113,"99,018","60,040","57,601","3,074","38,564","27,955","10,721","51,638","21,623","17,393","4,477","31,227","14,729","16,402",350,"181,537","127,185",,,"110,937"
Alberta_1997,"37,027","36,988",39,,,,,,,,,,,,,,,,,,"95,881","67,818","29,149","6,815","3,942","19,471","38,847","1,552","26,642","44,736","41,187","10,633","25,406","22,922","5,437","5,655",205,"3,234","1,792","1,755","1,420",166,"104,276","64,921","61,893","3,603","39,021","26,418","12,400","60,680","27,689","23,004","4,836","33,727","16,089","17,512",546,"193,931","141,802",,,"114,804"
Alberta_1998,"37,994","37,953",41,"532,299","532,299",0.0,0.0,"532,302","532,299",0.0,0.0,,,,,,,,,,"99,926","70,331","30,554","7,097","4,213","20,344","39,907","1,690","28,135","49,546","45,666","11,277","27,509","21,227","7,313","7,412",149,"3,626",26,26,-202,389,"110,817","72,017","67,397","4,829","38,720","23,746","14,241","63,903","30,396","25,771","4,692","33,895","15,470","18,375",46,"203,479","150,627",,,"117,555"
Alberta_1999,"38,312","38,258",54,"543,387","543,387",0.0,0.0,"543,387","543,387",0.0,0.0,,,,,,,,,,"103,400","72,753","31,495","7,350","4,316","20,961","41,409","1,809","29,083","47,195","42,841","10,806","26,542","20,785","6,929","5,943",172,"4,114",995,973,385,781,"113,727","73,036","67,470","5,475","40,529","25,194","14,641","66,201","30,945","26,357","4,637","35,835","16,403","19,373",225,"206,002","151,918",,,"123,612"
Alberta_2000,"37,161","37,111",50,"546,402","546,402",0.0,0.0,"546,402","546,402",0.0,0.0,,,,,,,,,,"109,056","76,562","33,520","8,180","4,623","21,698","43,145","1,959","30,837","55,078","50,065","11,064","31,433","24,640","8,195","7,659",176,"4,759","1,276","1,247",990,158,"123,903","79,429","74,268","5,264","44,293","27,380","16,148","75,890","36,448","31,486","4,963","39,812","18,193","21,555",187,"218,678","165,298",,,"127,764"
Alberta_2001,"37,749","37,721",28,"549,633","549,633",0.0,0.0,"549,633","549,633",0.0,0.0,,,,,,,,,,"113,401","79,482","35,034","8,844","5,002","21,967","44,520","2,117","32,149","61,262","55,036","12,322","34,285","26,541","9,086","8,598",201,"5,971","-1,922","-1,882","-1,319",-526,"123,995","80,748","74,993","5,810","43,056","25,282","17,122","78,411","36,998","31,820","5,195","41,993","19,845","21,985",-121,"222,271","175,656","3,058,108",61.6,"143,340"
Alberta_2002,"38,751","38,729",22,"548,124","548,124",0.0,0.0,"548,121","548,121",0.0,0.0,,,,,,,,,"34,761","118,171","82,922","36,859","9,589","5,296","22,650","46,093","2,363","33,240","60,689","54,140","14,530","33,415","24,794","9,329","6,920",240,"6,265","-2,524","-2,470","-1,180","-1,561","125,135","80,080","73,688","6,345","44,849","26,238","17,931","78,775","37,210","31,921","5,313","42,134","19,703","22,297",-81,"227,363","180,089","3,128,429",60.7,"149,145"
Alberta_2003,"40,340","40,320",20,"554,397","554,397",0.0,0.0,"554,397","554,397",0.0,0.0,,,,,,,,,"37,350","121,996","85,675","37,884","9,969","5,552","22,964","47,851","2,209","34,450","64,836","58,865","13,975","38,003","27,277","11,046","7,209",215,"5,675","1,640","1,604",422,"1,723","126,128","78,213","71,787","6,355","47,675","29,042","17,843","84,360","40,352","34,568","5,812","44,484","21,361","22,910",412,"235,234","187,935","3,183,065",59.9,"158,568"
Alberta_2004,"40,747","40,722",25,"552,594","552,594",0.0,0.0,"552,591","552,594",0.0,0.0,,,,,,,,,"39,390","127,383","90,352","40,054","10,658","5,946","24,016","50,346","2,103","35,132","71,406","65,131","14,618","42,867","30,798","12,444","7,835",128,"6,071",669,656,72,962,"134,562","86,128","79,412","6,657","48,173","28,029","19,571","90,432","44,284","38,124","6,184","46,472","21,730","24,595",399,"248,322","199,624","3,238,668",59.2,"160,107"
Alberta_2005,"42,054","42,036",18,"550,983","550,983",0.0,0.0,"550,983","550,983",0.0,0.0,,,,,,,,,"40,293","135,755","97,393","43,206","12,196","6,558","24,801","54,234","2,329","36,098","87,007","79,476","16,518","53,068","37,527","15,758","9,903",321,"7,076","2,961","2,898","2,038",777,"134,045","86,751","80,317","6,359","47,005","26,245","20,521","102,250","52,271","45,479","6,809","50,060","22,681","27,320",76,"259,282","222,857","3,321,768",58.4,"172,563"
Alberta_2006,"45,096","45,088",8,"551,742","551,742",0.0,0.0,"551,739","551,742",0.0,0.0,,,,,,,,,"40,557","145,800","106,167","47,713","14,234","7,395","26,227","58,426","2,282","37,246","95,815","86,956","17,200","59,775","40,534","18,911","9,882",352,"8,398","1,835","1,799","1,823",-531,"143,920","92,967","86,055","6,835","50,651","27,692","22,909","113,553","59,887","52,414","7,489","53,589","24,143","29,402",449,"275,756","241,597","3,421,434",57.5,"175,167"
Alberta_2007,"48,845","48,832",13,"599,316","599,316",0.0,0.0,"560,562","560,565",0.0,0.0,"28,767","28,767",0.0,0.0,"9,984","9,984",0.0,0.0,"40,542","155,026","113,253","51,049","15,689","8,127","27,239","62,158","2,341","39,283","97,835","87,671","17,321","61,862","42,475","19,172","8,390",279,"9,856","-1,393","-1,369",-788,-655,"147,734","93,804","87,066","6,640","53,639","31,269","21,788","119,961","63,544","56,035","7,532","56,316","27,089","28,993",-299,"280,600","252,928","3,514,147",56.4,"175,491"
Alberta_2008,"50,563","50,557",6,"598,386","598,383",,,"559,116","559,119",,,"29,520","29,520",,,"9,747","9,747",,,"42,516","160,594","116,219","52,051","15,828","8,476","27,740","64,142","2,495","41,827","99,417","88,126","15,418","65,441","46,429","19,039","7,423",391,"10,892",-796,-746,"-1,086",595,"145,123","93,973","87,287","6,577","50,740","27,878","22,772","120,072","64,678","56,922","7,777","55,232","25,243","29,911",-108,"285,125","260,091","3,595,856",55.7,"174,543"
Alberta_2009,"51,508","51,494",14,"602,031","602,028",,,"564,051","564,051",,,"27,867","27,864",,,"10,113","10,113",,,"45,627","160,352","114,744","50,127","14,029","8,210","27,957","64,621","2,409","43,223","73,829","62,507","13,416","43,630","27,866","15,261","5,431",324,"11,047","-2,097","-1,346",-670,-779,"143,880","84,236","77,489","6,712","59,529","31,692","27,840","107,920","54,641","47,050","7,603","53,415","23,963","29,417",-210,"269,322","234,339","3,678,996",55.1,"176,700"
Alberta_2010,"50,633","50,622",11,"605,355","605,355",,,"567,813","567,813",,,"27,690","27,690",,,"9,855","9,855",,,"44,781","166,158","119,496","51,896","14,716","8,694","28,519","67,606","2,375","44,295","90,987","78,178","15,941","55,368","39,553","15,775","6,845",441,"12,401",322,285,-111,511,"147,441","88,163","82,186","5,987","59,224","31,490","27,739","122,224","64,939","55,335","9,605","57,288","25,093","32,181",-343,"282,702","257,217","3,732,082",55.1,"184,575"
Alberta_2011,"50,845","50,834",11,"610,896","610,896",,,"573,102","573,102",,,"27,831","27,828",,,"9,966","9,969",,,"44,643","172,803","124,331","54,150","15,677","9,347","29,132","70,186","2,527","45,951","100,906","88,452","15,239","65,347","47,393","17,949","7,865",435,"12,026","1,362","1,357","1,211",101,"158,195","98,001","92,027","5,973","60,195","32,120","28,074","132,305","69,451","59,055","10,395","62,856","27,343","35,502",-305,"300,948","273,737","3,789,030",55.3,"188,268"
Alberta_2012,"52,452","52,441",11,"607,722","607,722",,,"574,911","574,911",,,"22,425","22,425",,,"10,386","10,386",,,"44,211","178,826","129,511","57,001","16,960","10,116","29,925","72,510","2,640","46,675","112,250","99,697","17,179","73,706","53,823","19,883","8,812",480,"12,073",577,504,609,-105,"164,149","102,896","96,585","6,310","61,253","32,598","28,656","142,790","78,388","66,764","11,624","64,402","26,908","37,494",-304,"312,708","291,076","3,874,548",55.6,"189,090"
Alberta_2013,"53,184","53,172",12,"626,343","626,343",,,"591,399","591,399",,,"24,159","24,159",,,"10,785","10,785",,,"44,391","185,565","135,916","60,153","18,421","10,562","31,172","75,767","2,709","46,942","124,703","112,904","19,017","85,186","63,734","21,432","8,691",459,"11,343","2,048","2,078",757,"1,281","173,928","108,910","102,108","6,803","65,017","36,137","28,841","156,033","83,542","70,042","13,487","72,498","29,939","42,561",-94,"330,548","310,267","3,981,011",55.9,"191,619"
Alberta_2014,"55,591","55,568",23,"645,012","645,009",,,"608,169","608,169",,,"25,707","25,707",,,"11,136","11,136",,,"45,123","191,420","141,034","62,838","19,551","10,945","32,348","78,211","2,675","47,723","130,401","119,421","20,728","90,006","67,683","22,294","8,662",589,"10,396",852,851,"1,015",-108,"186,783","119,479","111,894","7,592","67,299","34,599","32,953","159,938","84,556","70,380","14,158","75,427","28,458","47,104",-63,"350,033","321,825","4,083,648",56.0,"186,600"
Alberta_2015,"56,749","56,734",15,"664,296","664,299",,,"625,683","625,680",,,"27,129","27,129",,,"11,484","11,487",,,"46,662","193,254","141,740","61,557","18,250","10,826","32,478","80,126","2,804","48,708","104,527","92,636","20,637","66,040","49,458","16,558","5,926",527,"11,372","-1,815","-1,847","-2,065",88,"184,814","121,711","113,929","7,782","63,467","33,746","29,901","143,811","76,424","63,255","13,164","67,395","24,857","42,694",-156,"337,069","297,615","4,144,491",56.9,"184,026"
Alberta_2016,"55,715","55,674",41,"678,966","678,969",,,"640,872","640,872",,,"26,775","26,775",,,"11,322","11,322",,,"47,289","194,981","141,241","60,325","17,386","10,645","32,301","80,803","2,952","50,741","84,618","72,513","17,555","50,267","37,866","12,395","4,680",310,"11,818","-1,080","-1,049","-1,358",224,"184,137","119,411","111,536","7,804","64,699","35,467","29,499","136,565","71,485","58,252","13,264","65,196","23,450","41,909",275,"325,421","279,292","4,196,061",58.0,"185,679"
Alberta_2017,"53,561","53,513",48,"692,538","692,538",,,"652,272","652,272",,,"27,537","27,537",,,"12,732","12,732",,,,"200,620","145,319","62,820","18,730","10,803","33,276","82,418","2,960","52,294","85,214","73,155","17,928","49,794","37,379","12,401","5,404",320,"11,761","2,006","2,020","1,718",330,"194,464","126,527","118,565","7,999","67,986","37,677","30,623","140,741","74,864","61,731","13,160","65,874","22,306","43,749",-228,"340,062","285,508","4,241,100",59.1,"190,947"
Alberta_2018,"52,342","52,325",17,"707,391","707,391",,,"665,877","665,877",,,"28,488","28,488",,,"13,023","13,023",,,,"205,167","147,923","63,579","18,777","10,952","33,839","84,249","3,066","54,117","84,302","73,549","17,608","50,181","35,940","14,130","5,719",309,"10,467",544,511,582,-58,"207,617","135,457","127,304","8,280","72,267","41,497","31,186","147,318","78,728","64,303","14,437","68,547","23,801","44,920",79,"347,593","289,117","4,298,275",60.0,"194,010"
Alberta_2019,"51,689","51,657",32,"717,750","717,750",,,"673,788","673,788",,,"30,270","30,270",,,"13,689","13,689",,,,"205,538","148,463","63,137","18,203","11,037","33,888","85,208","3,241","53,772","78,543","68,779","15,931","47,139","33,187","13,811","5,650",242,"9,546","2,130","2,133","2,230",-79,"209,703","139,702","130,171","9,411","70,476","39,360","31,466","144,968","76,647","61,544","15,074","68,382","23,181","45,394",-88,"348,005","283,682","4,362,576",61.0,"200,391"
Alberta_2020,"48,970","48,908",62,"729,510","729,513",,,"683,280","683,280",,,"31,503","31,500",,,"14,730","14,730",,,,"195,800","138,969","61,615","17,076","9,876","34,605","77,323","3,071","53,625","67,834","57,372","15,426","36,980","25,629","11,205","4,983",230,"10,260","-3,787","-3,781","-3,690",-137,"198,641","133,890","127,669","7,057","65,470","38,517","27,545","134,000","67,731","55,931","11,875","66,768","24,405","42,522",-6,"320,302","263,217","4,420,029",61.9,"203,823"
Alberta_2021,"49,844","49,779",65,"720,681","720,678",,,"664,908","664,911",,,"30,465","30,465",,,"25,305","25,305",,,,"203,156","145,215","64,143","18,354","11,570","34,273","81,039","3,136","54,700","71,887","62,044","18,741","38,640","27,538","10,988","4,697",251,"9,602","-2,127","-2,239",-468,"-1,709","206,019","138,743","131,433","7,915","67,972","38,409","30,068","139,342","72,070","59,773","12,394","67,605","23,548","44,290",-88,"335,550","274,634","4,442,879",62.9,"203,523"
